Context utterance,Response utterance,Implicature
Did they get any evidence?,The house is as clean as a whistle.,No.
Is your boss giving you extra work?,I have to draw the line somewhere!,Yes.
Can he walk now?,He is as strong as an ox.,Yes.
Could you understand the sketch?,It is as clear as mud.,No.
Did you like the show?,"to me, it's like watching grass grow.",No.
Was that easy to negotiate?,That is as easy as shooting fish in a barrel.,Yes.
Will they break this contract?,This contract is as solid as the ground we stand on.,No.
Should I pay any attention to Sam?,He is nutty as a fruitcake.,No.
Did anyone respond angrily because of the lack of bonuses this year?,"Well, that news went over like a lead balloon.",No.
Is Peter like you?,We're just as different as night and day.,No.
Did she put on weight?,She is as thin as a rake.,No.
Did you sleep well last night?,"Last night, I slept like a log.",Yes.
Is the dress perfect?,it fits like a glove.,Yes.
Did you wear a jeans for the meeting?,"They wore jeans, which made me stand out like a sore thumb.",No.
Do you love me?,My love for you is as deep as the ocean.,Yes.
Do you want to come out for a juice?,I am so thirsty that my throat is as dry as a bone.,Yes.
"You are a musician, no?",I only really play for myself,No.
"You want to end up like that man ,left off your family's ofrenda?!",I don't care if I'm on some stupid ofrenda!,Yes.
Can I still sign-up?,You got an instrument?,Yes. You can sign up if you got an instrument.
"Excuse me, can I borrow your guitar?","Sorry, muchacho.",No.
You thought we weren't?,I thought it might've been one of those made things that adults tell kids...,Yes.
Anything to declare?,Some churros... from my family.,Yes.
You took my photo off the ofrenda?!,It was an accident!,Yes.
You really hate music that much?,I will not let you go down the same path he did.,Yes.
Is it too obvious?,I think it's just the right amount of obvious?,Yes.
"Have you found him, Pepita? Have you found our boy?",A footprint!,No. But I see the path he went
Is it too much?,it's all great.,No.
Did you ever regret it? Choosing music over... everything else.,It was hard,Yes.
You wanna give up now? When we're this close to reaching our dream?,This was your dream. You'll manage.,Yes.
I'm the love of your life?,I'm still angry at you.,No.
Isn't that why we moved here?,Something like that. But then we had the accident.,Yes.
What are you doing here in the middle of the night?,"You're just in time for supper, dear!",I was preparing supper.
"You mean like, hide and seek?",Perfect! Hide and seek in the rain.,Yes.
"You're both comin', right?",We're already here,Yes.
You sure you won't come?,"Don't fret, Charlie, they'll love the new catalog. At least, they'll love my chapters.",Yes.
Then why'd you lock the door?,"Oh, I found some rat crap and... I thought you'd feel ... safer.",I locked the door to make you safe
With those stupid uniforms? Right.,Had to give it a try,Yes.
How do you feel about a mustard-ketchup-salsa wrap for lunch?,Are you kidding me?,I dont like to have that.
You wanna come along? You can pick out something you like.,"Oh, like the gloves?",Yes.
"You do like it here, don't you, Coraline?","Uh-huh! Good night, Wybie.",No.
Is that any way to talk to your mother?,You aren't my mother.,No. But I am not talking to my mother.
"You stole that doll, didn't you?","Well, i-it looked just like you.",Yes
C-can you can you unlock it?,Not in a million years. But it wouldn't matter;,No
Can I get that doll?,Great! I'd love to get rid of it!,Yes.
Aren't you getting ready?,"We've lost our ride, Miriam.",No.
"Oh hey Dad, can we eat now?",Just wait till we get home.,No.
Is she still out there?,"You know she hates the cave, Grug.",Yes.
It does what you tell it?,"Well, sort of.",Yes.
What is wrong with you?,It was dangerous.,There is nothing wrong with me.
Have you been there?,It's a mountain. Mountains are safe.Mountains have caves. And water. And sticks.,Yes.
She's not gonna eat me right?,You're too skinny.,No.
You've seen rain before... right?,We don't get out much.,No.
"Heh. That's a joke, right?",What's a joke?,No.
"You're not coming, are you?","When you make it, so will I.",I am coming.
Is that a snake?,Belt! New and improved! It's even self-tightening. Ow!,No
"Dr. Nefario! Come on, you're kidding, right?",It's a great opportunity for me,No. I am serious.
You mean I pretend I have a mom?,"You can do that, can't you?",Yes.
Are you gonna marry Lucy?,Are you out of your gourd?,No.
Did you go to the movies last night?,“I had to study last night.,No.
Did you like it?,I was glad when it was over.,No.
How about if we go out to eat tonight. How about Chinese food?,Don't you think we should finish the left over?,I dont want to go out to eat tonight.
Do you expect Sheila to be late for the party tonight?,Is the pope Catholic?,Yes.
Do you think you got an “A” on the test?,Do chickens have lips?,No.
Do you like my new outfit?,You shouldn’t be allowed to buy clothes.,No.
Were you out with Jennifer last night?,I was out drinking with the boys. ,No.
Do you like some Jams or jellies?,"Oh, attitude! That's right! So thanks, but no thanks.",No.
"Hey, did you guys see the moon landing on TV?",I can't believe it. It's so cool…,Yes.
"It's horrible, isn't it?","Oh, we're making great progress!",No. It is improving
Don't you think there's more to our future than jelly?,"Well, I'm also considering a line of jams...",Yes.
"This, So, this is your new job opportunity? ",You're gonna like this.,Yes.
did he say we were close? Did he say that?,It's more what he didn't say.,No.
Could you finish the chores ?,It was a ton of chores to do.,No.
Am I writing fast?,You are slower than a snail.,No.
Was the hall decorated well?,It was decorated with a million flowers.,Yes.
How is your paper coming along?,My typewriter is broken.,I am unable to start typing
Have you tried choosing the apple pie?,I got the last piece. And it was out of this world,yes. The apple pie was delicious
If you are staying late will you be sure to lock up the office before you leave?,I hope I won’t leave within an hour,"I will not be staying late, so I can’t be sure to lock the office"
If you are staying late will you be sure to lock up the office before you leave?,I hope I won’t leave within an hour,I will leave the office in about an hour
Nancy really wants to ski on Thursday,"Yeah, but she can’t .can she?",Nancy won’t be able to go skiing
Let me help you with those packages?,"Thanks, but it is only three quarters to the block",It is not too far for me to carry the packages. You dont have to help me with those packages
Do you know that Arthur has three brothers living in three different continents?,He must have an incredible mondoevery month?,He is saving money to visit his brothers
This calculator is not working right?,I think you got the battery on upside down.,It is not working because the battery is not correctly positioned
You should buy a good guidebook and study off it before the trip to Montreal.,We could .But it is so of a price. What about the library?,it might not be necessay to buy a guidebook . I may borrow the guidebook from the library.
I always want a little pumpkin to eat at this time of the day.,So do I .Let us have a snack now and a light lunch later,I am also hungry.
I just ran over to Tom’s new apartment. It is much bigger than my place.,But more expensive than that,Toms apartment probable cost more than yours.
"will you mail these letters for me, please?",More letters. Your friends are going to be very happy to hear from you.,You have written a lot of letters recently.
"will you mail these letters for me, please?",More letters. Your friends are going to be very happy to hear from you.,yes I will post these letters
"will you mail these letters for me, please?",More letters. Your friends are going to be very happy to hear from you.,I believe that these letters are to your friends
Does professor Ford always come to class?,She is ice cold.,yes. Professor Ford always come to class.
"would you help me behind this week, to go over these questions again?",How about tomorrow then?,yes. I am free to help you with these questions tomorrow
"Hi , John ,John","Save your breath, he is out of earshot",John is too far away to hear
You only have water to serve?,This is not just water .It is imported mineral water.,yes. I only have water to serve
I see a book store has just opened on the main street.,"It may be a new store , but the books are far from new.",the books in the new book store are old
Alice is spending a lot of time in the library lately.,She has got a paper to do and two final exams next week,Alice has to study a lot
it is going to cost a lot to change my car’s battery,why dont you just trade it in for a new one,get a new car
We would go to Finland .kind of pack up my gloves and boots,I had been waiting for this for months,I am happy that the season has changed to winter
:How did the game go the other night Did your team win?,Are you kidding. That would be a a nerd?,No. My team always loses.
"Dennis told us, he would like to play cards.",But then why does n’t he have free time to invite someone,I think Dennis does not really enjoy playing cards.
"Excuse me, I dont understand why flight 213 has been delayed.The weather seems fine now.",I am afraid that newyork has 3 times as much snow as it did here. It should be clear by morning though.,The plane cannot land in newyork because of bad weather
Take a look at this giftstore .Maybe we can find something to get Janet for her new house,Okay but remember we cant afford a lot,we should select an inexpensive gift
Are you still waiting for Bob?,I don’t know why I bother. The store wll be closed by the time we get there.,Yes.
Are you still waiting for Bob?,I don’t know why I bother. The store wll be closed by the time we get there.,It is too late to get to the store.
Would you like to go with us for coffee a little later?,I am off caffine .Medical restriction.,No. I have to eliminate coffee from my diet.
Mary thinks high of it she got a research grant.,She shouldn’t have been everybody knows that she is brilliant,Mary shouldn’t have been suprised.
Mind if I leave my umbrella here in the hallway?,Not at all. But first shake it outside .Would you?,No. But remove some water from the umbrella.
"according to this article , the former boxing champion is going to try again. He is coming out of his -with a third time",is a comeback at this age at all likely,I think he wont win.
Don’t you think that professor Mark’s tests are too difficult?,well I must had been. I was expecting past more than a passing grade in Biology.,yes. I must think that Professor Mark’s tests are too difficult.
Don’t you think that professor Mark’s tests are too difficult?,well I must had been. I was expecting past more than a passing grade in Biology.,professor Mark’s test was harder than I had anticipated.
It looks like we won’t have a quiet place to do all what we wanted to,Lets get going,I dont mind being in a noisy place.
Can you believe that I just had to pay 30 Bucks to get a haircut in Sunny hair?,You should rather try crazy cuts. It is only 15. But it will take a while to get an appointment,It is a higher rate.
Would you like some milk in your coffee?,Please,Yes.
Could you help Bob and me plan a surpise party for Meg?,What can I do?,Yes. I am glad to work on the party
Lets charge for another mile.,I will try. But I am running out of steam.,I am getting tired.
I cant read the service problem. Can you help me?,Neither can I.,No.
It took me 5 days to drive down to Florida,5 days. I could have walked there in less time.,You are a very slow driver.
Excuse me. Did anybody find a black umbrella after the show. I kept it under my chair?,"Ask Jack at the ticket counter, that’s where we turn in the lost and found items.",Yes. It might be with the ticket seller.
I spent the whole weekend totally absorbed in this biography,And you still have not finished reading it.,It must be very long.
I can’t seem to find my photo album.,I think Mary is looking at it in the living room.,The photo album is in the living room
Did you hear that Mary turned out that job?,The hours were convenient. But it was not enough to make the ends meet.,Yes. Mary refused the job because of low salary.
Is there a bus I can get to the station.,You can't rely on it.,Yes. But it does not arrive on time.
Have you had a chance to wear your new shirt yet?,I have been trying to exchange it for a larger size.,No. It does not fit me well.
Did you call Carl to the concert?,I tried several times.,No. I could not reach him.
Can I call you in a little while?,It's four in the morning... I'm going to go to sleep.,No.
"And marriage, does that get easier?",It's hard. We started going to a marriage counselor.,No.
Did that help? Did you learn anything?,We established that we have no communication.,No. It did not help.
It's bad isn't it?,We should get you to the doctor.,Yes. It is bad.
What brings you here?,I need. . . a worker.,I am here to get a worker.
How does that sound?,About as bad as you smell!,It does not sound good.
Is this where I get travelling papers?,It would be if we let you travel which we don’t so it isn’t.,Yes.
Why do you think she wouldn't go to her own grandmother?,I don't know. I don't see what this has to do with me.,I don’t want to disclose my thought.
You looked out for him?,He looked out for me. He taught me.,No.
"Listen, you got anything to sell? It is really hurting.",I can't get it.,No.
Can I help you?,I'm in a bad place. I wanna turn myself in for treatment.,yes. I need treatment.
"Hey, what kind of bread is this on the patty melt, anyway?",Look on the menu. It explains everything.,the kind of the bread can be obtained from the menu.
"So is everything good, fellas?",I am panicked,No
Besides who has the money to procure a gram of coke?,"I, my friend, can derive a gram of coke for a total cost to me of under one dollar.",I can.
You did it?,I mean it's my theory that I did it. Under post-hypnotic suggestion. With an amnesia block so I wouldn't remember,No.
Are you alone?,Dan and I had a fight and he split.,Yes.
"Hey, man, did this happen by accident or was it done deliberately? Like the cephscope.",It's hard to say.,No. It was not an accident.
"Hey, do you smell something, man? A clue? Some engine smell that --",Dog shit! Do you smell dog shit?,I dont have a clue
"Hey, do you smell something, man? A clue? Some engine smell that --",Dog shit! Do you smell dog shit?,I smell something bad
Did you say you were selling the house? Or was that me dreaming?,"Shit, I hope it was you dreaming.",Yes I said I am selling the house.
"You're aware that Substance D is highly addictive, are you not?",You think I'm an addict?,I am aware of that.
Does it mean that I'm crazy?,"Crazy isn't a psychiatric diagnosis, Fred.",No.
"I wonder, Bob, if you can handle my car?",It's an ordinary six cylinder.,Yes. I can.
"Is someone unable to breathe, sir?","It is, I believe, cardiac arrest.",Yes.
"You okay, Ernst?",I must've gagged. Did I pass out?,No. I am not okay.
Did I scare you? Heh heh.,"I just did a freaky number, not like a fantasy trip, but... So I'm kinda.",No.
Do you ever throw anything away?,Someday I'm gonna get married and I'm going to need all this stuff.,No . I dont throw away
How much of what you've got did you buy and how much did you steal?,"Buy? What do you mean ""buy""?",All of this is stolen.
"Hey, Donna, man, do you like cats?",Dripping little things. Moving along about a foot above the ground.,No.
"and I put my arm around you. I want to hold you, okay?",You're too ugly.,No. I dont want you to hold me.
You sure this'll happen?,It's in the cards.,Yes.
How large is the Maylar Microdot Corporation building?,"Pathetic, soulless nitwits.",very small
"Yeah, I wonder what a nark looks like?",It's like asking what an imposter looks like.,nark’s appearance is deceptive
Will these go away? These gas gauges?,It's probably a functional impairment.,No.
Do you have any agricultural background?,I used to work in an office,No.
"You have it, then?",I had to slit a few throats to get it.,Yes.
"Getting into trouble a little early today, aren't we Aladdin?",Trouble? You're only in trouble if you get caught,No. we are not getting into trouble
"Oh, Prince Achmed. You're not leaving so soon, are you?",Good luck marrying her off!,Yes.
Should I pay?,No one steals from my cart!,Yes. You have to pay.
Is it that obvious?,"Well, you do kinda stand out.",Yes. It is obvious.
And does Abu have anything else to say?,"Well, uh, he wishes there was something he could do to help.",Yes.
They've found me! They're after you?,My father must have sent them,Yes.
"So, how did it go?",I think she took it rather well.,It went well
"You, uh, you don't want to go for a ride, do you?",Is it safe?,Yes.
What have you done?,Trust me!,I have not done anything wrong
"Oh, hello. Are you guys here to look at the refrigerator?",We're here to look at the TV. Heh heh.,No.
Can we watch your TV?,Y... Y... You're expelled! Get out!,No.
"Master, are you pointing at...me?",Him.,No.
Have you finished sight-seeing?,Sorry. I should've come to see you first.,Yes.
You have a ladder or trampoline or...?,You think it's that easy? That I am just going to hand you the secret to limitless power?,It does not matter.
"That kung fu stuff is hard work, right? Your biceps sore?","Um...I've had a long and rather disappointing day, so uh...yeah, I should probably get to sleep now.",Yes.
Fat?,"Fur, I was gonna say fur.",No.
Did you really say that ? So... how'd you get out of there alive?,"I mean, I didn't actually say that, but I thought it... in my mind. ",No.
You really believe I'm ready?,"You are, Po.",Yes.
You don't add some kind of special sauce or something?,"Don't have to. To make something special, you just have to believe it's special.",No. I don’t add.
Did I scare him off?,This battle is between you and me.,Yes.
That is how it's going to be?,That is how it must be.,Yes.
"Oh. So, um, I should...stop talking?",If you can,Yes.
Should we repay you??,"There is no charge for awesomeness, or attractiveness.",No.
"But Dad, didn't you ever, I dunno, want to do something else?",When I was young and crazy.. I thought about running away and learning how to make tofu. ,Yes. I did.
So... nothing's wrong?,"Well, I didn't say that.",Something is wrong
Did you clean your room?! The cleaning woman is coming today!,Then why do I need to clean?,No.
Can't you work from home? Like a sociopath or children's book author?,Mom. I've spent my whole life here.,I dont want to work from home.
Is it for an artist?,It's for an accountant.,No.
did you hear that song on the way in to work this morning?,Everything is Awesome? I love that song.,Yes.
Is this really the best time to talk?,"Well, so far…",Yes.
You guys used to date regularly? Nice.,Hardly,No.
You're sure I'm not the Chosen One?,"Emmet, your mother is the most powerful being in the universe.",No.
You remember?,Not by choice.,Yes.
You want to do this to the whole world?,So the whole world will be exactly how I want.,Yes.
Is it much farther?,Do you ever say something that isn't a stupid question?,No.
Like for an attic?,Like for a submarine.,No.
Kids? Are they okay?,"They're alright, baby.",Yes.
Did you build that?,but it's seriously messed up.,Yes.
"I'm the Chosen One, remember?",I guess that makes two of us.,No.
Isn't this great?,delightful,Yes.
Isn't it fantastic?,it - it's great. Now let's get outta here.,Yes.
"You're not getting cold fins now, are you?","Who, me? It's just, it, err . . . it looks - damp in there.",No.
Have you eve seen anything so wonderful in your entire life? ,"Wow, cool! But, err, what is it?",No.
Did you hear something?,"Hmm, I wonder what this one is?",No.
"Seagull? What? Oh - you went up to the surface again, didn't you? DIDN'T YOU?",Nothing - happened. . . .,Yes.
They're dangerous. Do you think I want to see my youngest daughter snared by some fish-eater's hook?,I'm sixteen years old - I'm not a child anymore -,I wont be snared by fish-eater's hook.
"Ariel, are you okay?",If only I could make him understand.,No.
"what, are you mad? How could you - what is all this?","It, err, it's just my - collection. . . .",No.
"You're not gonna tell him, are you?","Oh, please, Sebastian, he would never understand.",No.
"I've never seen a human this close before. Oh - he's very handsome, isn't he?","I dunno, he looks kinda hairy and slobbery to me.",No.
Is he - dead?,"Oh, I - I can't make out a heartbeat.",Yes. I think so.
Is it true you rescued a human from drowing?,"Daddy, I had to-",Yes.
"No . . . Have you lost your senses completely? He's a human, you're a mermaid!",I don't care.,No.
Can you DO that?,"My dear, sweet child. That's what I do - it's what I live for.  ",Yes.
Would you like to join me on a tour of my kingdom tomorrow?,"Wonderful, now let's eat, before this crab wanders off my plate.",Yes.
Are you sure about this?,Have I ever been wrong? I mean when it's important!,Yes.
"She really does love him, doesn't she, Sebastian?","Well, it's like I always say, Your Majesty. Children got to be free to lead their own lives.",Yes.
"Bit early tonight, aren't you, admiral?","Nonsense. Bang on the dot, as usual.",No.
"You getting this, Winifred?",Every word.,Yes.
I beg your pardon. Are you ill?,I hope not.,No.
"But that's going a bit too far, don't you think?",Indubitably.,Yes.
Will you stay if we promise to be good?,"Och! That's a piecrust promise. Easily made, easily broken.",No.
"Now, not another word or I shall have to summon the policeman. Is that clear?",It did happen! I saw it!,no. you can’t keep me quiet.
Shall we get spots?,"Oh, highly unlikely.",No.
"Uh, keep an eye on uncle Albert, will you, Bert?",I'll sit with him a while.,Yes.
Would you like to hear it?,I'd be so grateful.,Yes.
will you be kind enough to come with me?,As you wish.,yes. I shall come with you.
"Good evening, George. Is anything the matter?",I'm afraid there is.,Yes.
"Winifred, did I say that I was going to take the children to the bank?","It certainly sounded that way, dear.",Yes.
"Well, now that don't seem likely, does it?",It's true.,Yes.
"Well, will you ask Mrs. Brill?","Not for a hundred quid, ma'am.",No.
Will that make everything alrigt?,Thank you.,Yes.
"Are you sure it's not TOO SOON, honey?",I just wanted to get back to work.,No.
"everything alright, sir?","Fine, why do you ask?",Yes.
You okay?,"I'm dying, kid.",No.
Are the flame androids deployed?,All twelve.,Yes.
you want to team-up?,"You got the brains, I got the brawn.",Yes.
Are you guys all right in there?,We're fine.,Yes.
Special occasion?,I don't know. I guess so,Yes.
You're really gonna pop the question?,"Got the ring. Got the airline tickets. Soon as they break that piñata, we'll grab a cab - and it's off to the land of palm trees and coconuts.",Yes.
Beautiful isn't it?,They're disgusting.,No.
Am I late?,No time to talk.,Yes.
Do you have a girl worth fighting for ?,Wish that I had,No.
You don't have a plan?!,"Hey, I'm making this up as I go",No.
Please stay for dinner. Would you like to stay forever?,Dinner would be great.,No.
Aren't you scared?,"Well, that's just fine.",No.
"Sally, that soup ready yet?",Coming.,Yes.
Perhaps it can be improved?,No problem!,Yes.
Didn't I tell you to take\out the garbage?,"Coming, Dad!",Yes.
Can he feel it if I pet him?,I guess.,Yes.
Are they gonna try to eat our Brains?!,I think you'll be safe.,No.
So he's okay?,:Uh... not exactly.,No.
"you weren't supposed to follow me, were you?",Sorry. My fault.,No.
Does anyone know how to pick alock?,Sure. Picking locks is my thing.,Yes.
So they're not going to hurt us?,does it look like any of them are trying to hurt you?,No.
You don't remember them?,Leave me alone!,Yes.
So you think now everything's gonna turn back to normal?,As normal as it could be.,Yes.
Are you sending them an invitation?,Certainly.,Yes.
Is it really?,These aren't like any treasures I've seen.,Yes.
This is the research office?,I think so.,Yes.
You want to try?,We can ask for nothing better.,Yes.
Are you taking the other's pokémon?!,Taking them?,No.
Do you have your breakfast?,I've got some sandwiches in my pack.,Yes.
Did you buy this pretty feather boy?,It was a present.,No.
"Wilbur, are you alright?","Don't worry ma'am, I'll handle this.",Yes.
"Doctor, will he be alright?","Now, now, my dear. Keep a stiff upper lip. They all come in with a whimper, and leave with a grin. Off with you now.
Leave everything to me.",Yes.
"Oh Mister Jake, will you guide us?",At your service!,Yes.
are you waiting ?,"I think my tunnels might be faster, mate. And um, and safer. ",Yes.
did you do that?,"I, I didn't know I could.",Yes.
Are you alright?,"I just, I wish I could've done something.",No.
Are you okay?,Is official. My powers are kaput.,No.
Think it's in there?,All right. Let's get it!,Yes.
